,Conversation_ID,Customer_Issue,Tech_Response,Resolution_Time,Issue_Category,Issue_Status
963,CONV-0964,slow system performance,Follow the software installation guide.,92 minutes,hardware,Resolved
964,CONV-0965,software installation failure,Follow the software installation guide.,106 minutes,account,Pending
965,CONV-0966,blue screen error,Reset your password using the link provided.,18 minutes,software,Resolved after follow-up
966,CONV-0967,printer not responding,Follow the software installation guide.,62 minutes,network,Resolved
967,CONV-0968,software installation failure,Follow the software installation guide.,69 minutes,performance,Resolved
968,CONV-0969,unable to access email,Reset your password using the link provided.,93 minutes,hardware,Pending
969,CONV-0970,forgot password,Restart your router.,50 minutes,software,Resolved
970,CONV-0971,forgot password,Restart your router.,18 minutes,account,Escalated
971,CONV-0972,unable to access email,Reset your password using the link provided.,34 minutes,account,Resolved
972,CONV-0973,software installation failure,Verify your email settings.,84 minutes,network,Escalated
973,CONV-0974,unable to access email,Restart your router.,103 minutes,performance,Pending
974,CONV-0975,unable to access email,Restart your router.,12 minutes,account,Pending
975,CONV-0976,software installation failure,Reset your password using the link provided.,100 minutes,hardware,Pending
976,CONV-0977,software installation failure,Follow the software installation guide.,113 minutes,software,Resolved
977,CONV-0978,cannot connect to wi-fi,Reset your password using the link provided.,26 minutes,performance,Pending
978,CONV-0979,cannot connect to wi-fi,Restart your router.,80 minutes,account,Resolved after follow-up
979,CONV-0980,software installation failure,Reinstall the printer drivers.,33 minutes,software,Resolved
980,CONV-0981,cannot connect to wi-fi,Clear cache and remove unnecessary programs.,22 minutes,network,Escalated
981,CONV-0982,blue screen error,Follow the software installation guide.,93 minutes,software,Escalated
982,CONV-0983,unable to access email,Verify your email settings.,115 minutes,account,Resolved
983,CONV-0984,cannot connect to wi-fi,Follow the software installation guide.,88 minutes,hardware,Resolved after follow-up
984,CONV-0985,forgot password,Verify your email settings.,77 minutes,hardware,Resolved
985,CONV-0986,unable to access email,Reinstall the printer drivers.,23 minutes,network,Resolved
986,CONV-0987,printer not responding,Reset your password using the link provided.,56 minutes,software,Escalated
987,CONV-0988,slow system performance,Clear cache and remove unnecessary programs.,82 minutes,account,Pending
988,CONV-0989,software installation failure,Verify your email settings.,71 minutes,network,Resolved after follow-up
989,CONV-0990,slow system performance,Clear cache and remove unnecessary programs.,118 minutes,network,Resolved
990,CONV-0991,blue screen error,Follow the software installation guide.,72 minutes,network,Pending
991,CONV-0992,slow system performance,Reset your password using the link provided.,14 minutes,software,Resolved after follow-up
992,CONV-0993,printer not responding,Clear cache and remove unnecessary programs.,16 minutes,hardware,Resolved
993,CONV-0994,unable to access email,Run a system diagnostic tool.,109 minutes,hardware,Resolved after follow-up
994,CONV-0995,software installation failure,Follow the software installation guide.,57 minutes,hardware,Pending
995,CONV-0996,cannot connect to wi-fi,Verify your email settings.,30 minutes,performance,Escalated
996,CONV-0997,forgot password,Reset your password using the link provided.,79 minutes,hardware,Escalated
997,CONV-0998,unable to access email,Clear cache and remove unnecessary programs.,115 minutes,software,Resolved after follow-up
998,CONV-0999,blue screen error,Verify your email settings.,68 minutes,software,Pending
999,CONV-1000,forgot password,Follow the software installation guide.,28 minutes,network,Pending
1000,CONV-1001,printer not responding,Reinstall the printer drivers.,15 minutes,software,Resolved
1001,CONV-1002,printer not responding,Reinstall the printer drivers.,16 minutes,hardware,Pending
1002,CONV-1003,unable to access email,Reinstall the printer drivers.,30 minutes,account,Resolved
1003,CONV-1004,blue screen error,Restart your router.,98 minutes,hardware,Escalated
1004,CONV-1005,forgot password,Reinstall the printer drivers.,41 minutes,account,Pending
1005,CONV-1006,software installation failure,Follow the software installation guide.,119 minutes,hardware,Escalated
1006,CONV-1007,unable to access email,Clear cache and remove unnecessary programs.,71 minutes,hardware,Resolved
1007,CONV-1008,software installation failure,Clear cache and remove unnecessary programs.,45 minutes,software,Pending
1008,CONV-1009,software installation failure,Verify your email settings.,108 minutes,network,Pending
1009,CONV-1010,slow system performance,Reinstall the printer drivers.,116 minutes,software,Escalated
1010,CONV-1011,blue screen error,Clear cache and remove unnecessary programs.,28 minutes,network,Pending
1011,CONV-1012,blue screen error,Reinstall the printer drivers.,61 minutes,network,Pending
1012,CONV-1013,software installation failure,Verify your email settings.,40 minutes,software,Pending
1013,CONV-1014,software installation failure,Reinstall the printer drivers.,18 minutes,performance,Escalated
1014,CONV-1015,forgot password,Follow the software installation guide.,85 minutes,account,Resolved
1015,CONV-1016,unable to access email,Reset your password using the link provided.,77 minutes,hardware,Escalated
1016,CONV-1017,slow system performance,Follow the software installation guide.,88 minutes,software,Resolved
1017,CONV-1018,forgot password,Run a system diagnostic tool.,65 minutes,hardware,Escalated
1018,CONV-1019,unable to access email,Reinstall the printer drivers.,68 minutes,network,Resolved after follow-up
1019,CONV-1020,unable to access email,Run a system diagnostic tool.,92 minutes,network,Resolved after follow-up
1020,CONV-1021,software installation failure,Clear cache and remove unnecessary programs.,77 minutes,hardware,Resolved after follow-up
1021,CONV-1022,slow system performance,Restart your router.,86 minutes,network,Resolved
1022,CONV-1023,printer not responding,Clear cache and remove unnecessary programs.,71 minutes,account,Resolved after follow-up
1023,CONV-1024,slow system performance,Follow the software installation guide.,45 minutes,hardware,Escalated
1024,CONV-1025,cannot connect to wi-fi,Follow the software installation guide.,22 minutes,account,Pending
1025,CONV-1026,slow system performance,Run a system diagnostic tool.,51 minutes,performance,Resolved after follow-up
1026,CONV-1027,slow system performance,Run a system diagnostic tool.,64 minutes,software,Pending
1027,CONV-1028,printer not responding,Reinstall the printer drivers.,40 minutes,software,Resolved
1028,CONV-1029,software installation failure,Reinstall the printer drivers.,95 minutes,account,Resolved
1029,CONV-1030,forgot password,Reinstall the printer drivers.,53 minutes,network,Resolved
1030,CONV-1031,unable to access email,Reset your password using the link provided.,108 minutes,network,Resolved
1031,CONV-1032,software installation failure,Reinstall the printer drivers.,94 minutes,account,Pending
1032,CONV-1033,cannot connect to wi-fi,Reinstall the printer drivers.,112 minutes,account,Resolved after follow-up
1033,CONV-1034,printer not responding,Reinstall the printer drivers.,68 minutes,network,Pending
1034,CONV-1035,slow system performance,Verify your email settings.,31 minutes,network,Pending
1035,CONV-1036,slow system performance,Run a system diagnostic tool.,8 minutes,performance,Resolved after follow-up
1036,CONV-1037,slow system performance,Follow the software installation guide.,72 minutes,software,Resolved
1037,CONV-1038,slow system performance,Reinstall the printer drivers.,8 minutes,network,Pending
1038,CONV-1039,cannot connect to wi-fi,Run a system diagnostic tool.,118 minutes,account,Resolved
1039,CONV-1040,software installation failure,Restart your router.,15 minutes,performance,Resolved
1040,CONV-1041,software installation failure,Follow the software installation guide.,62 minutes,account,Resolved after follow-up
1041,CONV-1042,unable to access email,Verify your email settings.,50 minutes,performance,Resolved after follow-up
1042,CONV-1043,forgot password,Reset your password using the link provided.,43 minutes,hardware,Resolved
1043,CONV-1044,blue screen error,Restart your router.,16 minutes,account,Escalated
1044,CONV-1045,software installation failure,Reset your password using the link provided.,12 minutes,account,Resolved after follow-up
1045,CONV-1046,cannot connect to wi-fi,Reset your password using the link provided.,11 minutes,software,Resolved after follow-up
1046,CONV-1047,software installation failure,Verify your email settings.,49 minutes,network,Resolved
1047,CONV-1048,unable to access email,Restart your router.,110 minutes,network,Resolved
1048,CONV-1049,cannot connect to wi-fi,Verify your email settings.,58 minutes,account,Resolved
1049,CONV-1050,forgot password,Reset your password using the link provided.,92 minutes,network,Pending
1050,CONV-1051,software installation failure,Restart your router.,60 minutes,hardware,Resolved
1051,CONV-1052,software installation failure,Reset your password using the link provided.,81 minutes,network,Escalated
1052,CONV-1053,software installation failure,Follow the software installation guide.,99 minutes,account,Resolved after follow-up
1053,CONV-1054,cannot connect to wi-fi,Clear cache and remove unnecessary programs.,8 minutes,account,Resolved
1054,CONV-1055,printer not responding,Reinstall the printer drivers.,115 minutes,hardware,Escalated
1055,CONV-1056,printer not responding,Clear cache and remove unnecessary programs.,36 minutes,performance,Resolved after follow-up
1056,CONV-1057,printer not responding,Follow the software installation guide.,16 minutes,network,Resolved after follow-up
1057,CONV-1058,unable to access email,Reset your password using the link provided.,32 minutes,hardware,Pending
1058,CONV-1059,blue screen error,Verify your email settings.,100 minutes,network,Pending
1059,CONV-1060,cannot connect to wi-fi,Reset your password using the link provided.,62 minutes,account,Resolved after follow-up
1060,CONV-1061,unable to access email,Restart your router.,98 minutes,network,Pending
1061,CONV-1062,software installation failure,Clear cache and remove unnecessary programs.,109 minutes,software,Escalated
1062,CONV-1063,forgot password,Verify your email settings.,11 minutes,network,Escalated
1063,CONV-1064,printer not responding,Reset your password using the link provided.,85 minutes,hardware,Resolved after follow-up
1064,CONV-1065,slow system performance,Reset your password using the link provided.,119 minutes,account,Resolved
1065,CONV-1066,software installation failure,Clear cache and remove unnecessary programs.,49 minutes,software,Pending
1066,CONV-1067,blue screen error,Clear cache and remove unnecessary programs.,110 minutes,hardware,Resolved
1067,CONV-1068,forgot password,Run a system diagnostic tool.,13 minutes,hardware,Escalated
1068,CONV-1069,slow system performance,Follow the software installation guide.,73 minutes,software,Resolved
1069,CONV-1070,software installation failure,Clear cache and remove unnecessary programs.,53 minutes,hardware,Escalated
1070,CONV-1071,software installation failure,Follow the software installation guide.,109 minutes,account,Resolved
1071,CONV-1072,printer not responding,Clear cache and remove unnecessary programs.,86 minutes,hardware,Escalated
1072,CONV-1073,software installation failure,Follow the software installation guide.,31 minutes,hardware,Resolved after follow-up
1073,CONV-1074,cannot connect to wi-fi,Follow the software installation guide.,47 minutes,software,Pending
1074,CONV-1075,printer not responding,Reset your password using the link provided.,68 minutes,account,Escalated
1075,CONV-1076,printer not responding,Reinstall the printer drivers.,91 minutes,hardware,Pending
1076,CONV-1077,cannot connect to wi-fi,Run a system diagnostic tool.,35 minutes,performance,Escalated
1077,CONV-1078,unable to access email,Run a system diagnostic tool.,114 minutes,account,Escalated
1078,CONV-1079,software installation failure,Follow the software installation guide.,12 minutes,hardware,Pending
1079,CONV-1080,slow system performance,Run a system diagnostic tool.,80 minutes,network,Pending
1080,CONV-1081,software installation failure,Run a system diagnostic tool.,9 minutes,software,Resolved after follow-up
1081,CONV-1082,cannot connect to wi-fi,Reinstall the printer drivers.,16 minutes,performance,Escalated
1082,CONV-1083,unable to access email,Reset your password using the link provided.,79 minutes,performance,Escalated
1083,CONV-1084,unable to access email,Reinstall the printer drivers.,41 minutes,account,Pending
1084,CONV-1085,unable to access email,Follow the software installation guide.,78 minutes,software,Pending
1085,CONV-1086,blue screen error,Verify your email settings.,99 minutes,network,Resolved after follow-up
1086,CONV-1087,printer not responding,Restart your router.,53 minutes,hardware,Resolved
1087,CONV-1088,cannot connect to wi-fi,Reinstall the printer drivers.,14 minutes,hardware,Escalated
1088,CONV-1089,unable to access email,Verify your email settings.,47 minutes,performance,Resolved
1089,CONV-1090,cannot connect to wi-fi,Run a system diagnostic tool.,18 minutes,software,Resolved after follow-up
1090,CONV-1091,forgot password,Reinstall the printer drivers.,18 minutes,network,Resolved after follow-up
1091,CONV-1092,blue screen error,Follow the software installation guide.,90 minutes,software,Escalated
1092,CONV-1093,unable to access email,Verify your email settings.,100 minutes,hardware,Escalated
1093,CONV-1094,unable to access email,Restart your router.,111 minutes,account,Pending
1094,CONV-1095,cannot connect to wi-fi,Follow the software installation guide.,33 minutes,software,Resolved
1095,CONV-1096,printer not responding,Run a system diagnostic tool.,25 minutes,network,Resolved
1096,CONV-1097,software installation failure,Restart your router.,64 minutes,network,Pending
1097,CONV-1098,cannot connect to wi-fi,Verify your email settings.,38 minutes,software,Resolved
1098,CONV-1099,forgot password,Run a system diagnostic tool.,23 minutes,account,Resolved
1099,CONV-1100,forgot password,Verify your email settings.,22 minutes,account,Escalated
1100,CONV-1101,unable to access email,Verify your email settings.,16 minutes,network,Resolved after follow-up
1101,CONV-1102,slow system performance,Verify your email settings.,95 minutes,account,Escalated
1102,CONV-1103,forgot password,Reset your password using the link provided.,43 minutes,account,Escalated
1103,CONV-1104,unable to access email,Follow the software installation guide.,103 minutes,network,Resolved
1104,CONV-1105,cannot connect to wi-fi,Restart your router.,49 minutes,software,Pending
1105,CONV-1106,printer not responding,Reset your password using the link provided.,117 minutes,software,Resolved after follow-up
1106,CONV-1107,forgot password,Clear cache and remove unnecessary programs.,19 minutes,hardware,Resolved after follow-up
1107,CONV-1108,software installation failure,Run a system diagnostic tool.,37 minutes,account,Escalated
1108,CONV-1109,forgot password,Reset your password using the link provided.,89 minutes,network,Resolved after follow-up
1109,CONV-1110,software installation failure,Reinstall the printer drivers.,91 minutes,software,Resolved after follow-up
1110,CONV-1111,blue screen error,Reinstall the printer drivers.,18 minutes,software,Escalated
1111,CONV-1112,forgot password,Verify your email settings.,117 minutes,network,Pending
1112,CONV-1113,software installation failure,Restart your router.,92 minutes,performance,Escalated
1113,CONV-1114,software installation failure,Reset your password using the link provided.,19 minutes,account,Pending
1114,CONV-1115,cannot connect to wi-fi,Reset your password using the link provided.,23 minutes,hardware,Pending
1115,CONV-1116,unable to access email,Run a system diagnostic tool.,60 minutes,performance,Pending
1116,CONV-1117,blue screen error,Verify your email settings.,37 minutes,software,Resolved
1117,CONV-1118,forgot password,Follow the software installation guide.,56 minutes,network,Resolved
1118,CONV-1119,forgot password,Reset your password using the link provided.,11 minutes,performance,Resolved after follow-up
1119,CONV-1120,printer not responding,Clear cache and remove unnecessary programs.,93 minutes,hardware,Resolved
1120,CONV-1121,forgot password,Clear cache and remove unnecessary programs.,25 minutes,network,Pending
1121,CONV-1122,cannot connect to wi-fi,Clear cache and remove unnecessary programs.,102 minutes,hardware,Resolved
1122,CONV-1123,printer not responding,Run a system diagnostic tool.,57 minutes,software,Escalated
1123,CONV-1124,slow system performance,Verify your email settings.,104 minutes,account,Resolved
1124,CONV-1125,software installation failure,Restart your router.,106 minutes,performance,Pending
1125,CONV-1126,unable to access email,Follow the software installation guide.,109 minutes,network,Resolved after follow-up
1126,CONV-1127,blue screen error,Reset your password using the link provided.,104 minutes,hardware,Escalated
1127,CONV-1128,software installation failure,Restart your router.,41 minutes,hardware,Resolved
1128,CONV-1129,software installation failure,Reset your password using the link provided.,84 minutes,performance,Pending
1129,CONV-1130,unable to access email,Follow the software installation guide.,13 minutes,hardware,Resolved
1130,CONV-1131,slow system performance,Follow the software installation guide.,91 minutes,performance,Pending
1131,CONV-1132,software installation failure,Restart your router.,104 minutes,performance,Resolved
1132,CONV-1133,printer not responding,Verify your email settings.,42 minutes,account,Pending
1133,CONV-1134,cannot connect to wi-fi,Verify your email settings.,17 minutes,hardware,Resolved after follow-up
1134,CONV-1135,cannot connect to wi-fi,Run a system diagnostic tool.,33 minutes,hardware,Resolved after follow-up
1135,CONV-1136,software installation failure,Reset your password using the link provided.,15 minutes,network,Pending
1136,CONV-1137,unable to access email,Clear cache and remove unnecessary programs.,31 minutes,hardware,Resolved after follow-up
1137,CONV-1138,slow system performance,Restart your router.,6 minutes,software,Escalated
1138,CONV-1139,blue screen error,Clear cache and remove unnecessary programs.,96 minutes,performance,Resolved
1139,CONV-1140,software installation failure,Reset your password using the link provided.,46 minutes,account,Resolved
1140,CONV-1141,forgot password,Follow the software installation guide.,111 minutes,hardware,Resolved
1141,CONV-1142,cannot connect to wi-fi,Follow the software installation guide.,97 minutes,performance,Pending
1142,CONV-1143,software installation failure,Restart your router.,40 minutes,hardware,Resolved
1143,CONV-1144,unable to access email,Verify your email settings.,19 minutes,account,Resolved
1144,CONV-1145,cannot connect to wi-fi,Verify your email settings.,109 minutes,software,Pending
1145,CONV-1146,software installation failure,Restart your router.,107 minutes,performance,Resolved
1146,CONV-1147,software installation failure,Follow the software installation guide.,77 minutes,software,Escalated
1147,CONV-1148,printer not responding,Restart your router.,7 minutes,account,Resolved after follow-up
1148,CONV-1149,unable to access email,Restart your router.,7 minutes,software,Resolved after follow-up
1149,CONV-1150,unable to access email,Reset your password using the link provided.,47 minutes,network,Resolved
1150,CONV-1151,cannot connect to wi-fi,Reinstall the printer drivers.,109 minutes,network,Resolved
1151,CONV-1152,blue screen error,Follow the software installation guide.,118 minutes,hardware,Resolved
1152,CONV-1153,software installation failure,Reinstall the printer drivers.,86 minutes,hardware,Resolved after follow-up
1153,CONV-1154,unable to access email,Run a system diagnostic tool.,120 minutes,account,Resolved after follow-up
1154,CONV-1155,slow system performance,Run a system diagnostic tool.,91 minutes,account,Pending
1155,CONV-1156,cannot connect to wi-fi,Restart your router.,5 minutes,account,Pending
1156,CONV-1157,printer not responding,Run a system diagnostic tool.,31 minutes,performance,Resolved after follow-up
1157,CONV-1158,cannot connect to wi-fi,Reinstall the printer drivers.,14 minutes,performance,Resolved after follow-up
1158,CONV-1159,software installation failure,Run a system diagnostic tool.,63 minutes,performance,Pending
1159,CONV-1160,blue screen error,Restart your router.,81 minutes,network,Resolved
1160,CONV-1161,software installation failure,Reset your password using the link provided.,5 minutes,hardware,Resolved after follow-up
1161,CONV-1162,forgot password,Run a system diagnostic tool.,100 minutes,hardware,Pending
1162,CONV-1163,forgot password,Verify your email settings.,58 minutes,software,Pending
1163,CONV-1164,slow system performance,Clear cache and remove unnecessary programs.,113 minutes,hardware,Pending
1164,CONV-1165,forgot password,Run a system diagnostic tool.,90 minutes,network,Resolved after follow-up
1165,CONV-1166,cannot connect to wi-fi,Run a system diagnostic tool.,52 minutes,hardware,Escalated
1166,CONV-1167,blue screen error,Follow the software installation guide.,101 minutes,hardware,Resolved
1167,CONV-1168,slow system performance,Reset your password using the link provided.,29 minutes,network,Pending
1168,CONV-1169,blue screen error,Verify your email settings.,9 minutes,hardware,Pending
1169,CONV-1170,unable to access email,Reset your password using the link provided.,103 minutes,account,Pending
1170,CONV-1171,cannot connect to wi-fi,Restart your router.,115 minutes,account,Resolved
1171,CONV-1172,printer not responding,Follow the software installation guide.,22 minutes,hardware,Pending
1172,CONV-1173,printer not responding,Reset your password using the link provided.,42 minutes,account,Pending
1173,CONV-1174,blue screen error,Verify your email settings.,38 minutes,performance,Resolved after follow-up
1174,CONV-1175,unable to access email,Clear cache and remove unnecessary programs.,26 minutes,account,Escalated
1175,CONV-1176,slow system performance,Reset your password using the link provided.,69 minutes,network,Resolved
1176,CONV-1177,slow system performance,Restart your router.,32 minutes,performance,Resolved after follow-up
1177,CONV-1178,cannot connect to wi-fi,Run a system diagnostic tool.,65 minutes,network,Pending
1178,CONV-1179,slow system performance,Reset your password using the link provided.,87 minutes,hardware,Resolved
1179,CONV-1180,unable to access email,Verify your email settings.,40 minutes,software,Resolved after follow-up
1180,CONV-1181,forgot password,Reset your password using the link provided.,38 minutes,network,Resolved after follow-up
1181,CONV-1182,forgot password,Run a system diagnostic tool.,118 minutes,network,Pending
1182,CONV-1183,cannot connect to wi-fi,Reinstall the printer drivers.,48 minutes,account,Pending
1183,CONV-1184,unable to access email,Restart your router.,13 minutes,performance,Resolved
1184,CONV-1185,unable to access email,Reinstall the printer drivers.,90 minutes,account,Escalated
1185,CONV-1186,cannot connect to wi-fi,Reinstall the printer drivers.,38 minutes,software,Resolved
1186,CONV-1187,printer not responding,Restart your router.,71 minutes,performance,Resolved after follow-up
1187,CONV-1188,blue screen error,Reinstall the printer drivers.,107 minutes,account,Pending
1188,CONV-1189,printer not responding,Reinstall the printer drivers.,53 minutes,network,Resolved
1189,CONV-1190,software installation failure,Run a system diagnostic tool.,91 minutes,network,Escalated
1190,CONV-1191,cannot connect to wi-fi,Restart your router.,97 minutes,performance,Escalated
1191,CONV-1192,blue screen error,Clear cache and remove unnecessary programs.,88 minutes,performance,Escalated
1192,CONV-1193,forgot password,Verify your email settings.,95 minutes,hardware,Escalated
1193,CONV-1194,blue screen error,Reinstall the printer drivers.,105 minutes,software,Resolved
1194,CONV-1195,unable to access email,Verify your email settings.,20 minutes,account,Resolved
1195,CONV-1196,unable to access email,Reset your password using the link provided.,18 minutes,network,Resolved after follow-up
1196,CONV-1197,unable to access email,Run a system diagnostic tool.,8 minutes,software,Resolved after follow-up
1197,CONV-1198,software installation failure,Run a system diagnostic tool.,100 minutes,performance,Pending
1198,CONV-1199,software installation failure,Run a system diagnostic tool.,97 minutes,account,Resolved
1199,CONV-1200,cannot connect to wi-fi,Run a system diagnostic tool.,29 minutes,performance,Resolved
1200,CONV-1201,forgot password,Follow the software installation guide.,110 minutes,account,Escalated
1201,CONV-1202,software installation failure,Reset your password using the link provided.,69 minutes,hardware,Resolved after follow-up
1202,CONV-1203,unable to access email,Restart your router.,44 minutes,hardware,Escalated
1203,CONV-1204,forgot password,Verify your email settings.,102 minutes,software,Escalated
1204,CONV-1205,printer not responding,Reset your password using the link provided.,54 minutes,hardware,Escalated
1205,CONV-1206,blue screen error,Reset your password using the link provided.,46 minutes,network,Escalated
1206,CONV-1207,forgot password,Reset your password using the link provided.,76 minutes,network,Resolved
1207,CONV-1208,slow system performance,Run a system diagnostic tool.,31 minutes,account,Resolved
1208,CONV-1209,slow system performance,Follow the software installation guide.,92 minutes,hardware,Resolved after follow-up
1209,CONV-1210,forgot password,Verify your email settings.,120 minutes,software,Pending
1210,CONV-1211,unable to access email,Restart your router.,74 minutes,hardware,Resolved
1211,CONV-1212,cannot connect to wi-fi,Clear cache and remove unnecessary programs.,60 minutes,account,Resolved
1212,CONV-1213,unable to access email,Reinstall the printer drivers.,37 minutes,hardware,Resolved after follow-up
1213,CONV-1214,forgot password,Run a system diagnostic tool.,83 minutes,network,Resolved after follow-up
1214,CONV-1215,cannot connect to wi-fi,Run a system diagnostic tool.,33 minutes,performance,Resolved after follow-up
1215,CONV-1216,printer not responding,Clear cache and remove unnecessary programs.,48 minutes,network,Resolved
1216,CONV-1217,blue screen error,Restart your router.,83 minutes,software,Escalated
1217,CONV-1218,software installation failure,Follow the software installation guide.,34 minutes,network,Resolved after follow-up
1218,CONV-1219,blue screen error,Verify your email settings.,109 minutes,software,Escalated
1219,CONV-1220,cannot connect to wi-fi,Clear cache and remove unnecessary programs.,70 minutes,performance,Resolved
1220,CONV-1221,cannot connect to wi-fi,Restart your router.,87 minutes,performance,Escalated
1221,CONV-1222,software installation failure,Run a system diagnostic tool.,96 minutes,account,Resolved
1222,CONV-1223,printer not responding,Verify your email settings.,46 minutes,software,Pending
1223,CONV-1224,forgot password,Reinstall the printer drivers.,103 minutes,software,Pending
1224,CONV-1225,printer not responding,Clear cache and remove unnecessary programs.,104 minutes,hardware,Resolved
1225,CONV-1226,slow system performance,Restart your router.,85 minutes,network,Escalated
1226,CONV-1227,cannot connect to wi-fi,Verify your email settings.,119 minutes,hardware,Pending
1227,CONV-1228,cannot connect to wi-fi,Reinstall the printer drivers.,18 minutes,network,Pending
1228,CONV-1229,cannot connect to wi-fi,Restart your router.,11 minutes,network,Escalated
1229,CONV-1230,forgot password,Reset your password using the link provided.,68 minutes,performance,Resolved after follow-up
1230,CONV-1231,slow system performance,Clear cache and remove unnecessary programs.,79 minutes,account,Escalated
1231,CONV-1232,unable to access email,Clear cache and remove unnecessary programs.,100 minutes,software,Pending
1232,CONV-1233,slow system performance,Clear cache and remove unnecessary programs.,8 minutes,network,Resolved after follow-up
1233,CONV-1234,printer not responding,Run a system diagnostic tool.,116 minutes,account,Pending
1234,CONV-1235,slow system performance,Reinstall the printer drivers.,74 minutes,software,Resolved after follow-up
1235,CONV-1236,slow system performance,Follow the software installation guide.,24 minutes,software,Escalated
1236,CONV-1237,slow system performance,Run a system diagnostic tool.,84 minutes,software,Resolved
1237,CONV-1238,forgot password,Follow the software installation guide.,55 minutes,account,Resolved
1238,CONV-1239,slow system performance,Restart your router.,22 minutes,hardware,Resolved
1239,CONV-1240,cannot connect to wi-fi,Run a system diagnostic tool.,30 minutes,account,Resolved
1240,CONV-1241,printer not responding,Verify your email settings.,116 minutes,network,Resolved
1241,CONV-1242,slow system performance,Reinstall the printer drivers.,115 minutes,performance,Pending
1242,CONV-1243,software installation failure,Follow the software installation guide.,49 minutes,account,Resolved
1243,CONV-1244,blue screen error,Verify your email settings.,60 minutes,hardware,Resolved after follow-up
1244,CONV-1245,printer not responding,Reinstall the printer drivers.,45 minutes,account,Resolved after follow-up
1245,CONV-1246,cannot connect to wi-fi,Verify your email settings.,20 minutes,performance,Escalated
1246,CONV-1247,slow system performance,Reinstall the printer drivers.,39 minutes,network,Resolved after follow-up
1247,CONV-1248,software installation failure,Reinstall the printer drivers.,79 minutes,software,Resolved
1248,CONV-1249,blue screen error,Verify your email settings.,91 minutes,hardware,Escalated
1249,CONV-1250,slow system performance,Follow the software installation guide.,107 minutes,network,Resolved after follow-up
1250,CONV-1251,software installation failure,Run a system diagnostic tool.,51 minutes,performance,Escalated
1251,CONV-1252,software installation failure,Clear cache and remove unnecessary programs.,5 minutes,hardware,Resolved
1252,CONV-1253,software installation failure,Clear cache and remove unnecessary programs.,69 minutes,account,Escalated
1253,CONV-1254,software installation failure,Follow the software installation guide.,68 minutes,hardware,Resolved after follow-up
1254,CONV-1255,forgot password,Reinstall the printer drivers.,34 minutes,software,Resolved
1255,CONV-1256,blue screen error,Run a system diagnostic tool.,74 minutes,account,Resolved
1256,CONV-1257,cannot connect to wi-fi,Reset your password using the link provided.,68 minutes,hardware,Pending
1257,CONV-1258,software installation failure,Reset your password using the link provided.,101 minutes,software,Resolved
1258,CONV-1259,forgot password,Clear cache and remove unnecessary programs.,26 minutes,software,Escalated
1259,CONV-1260,software installation failure,Verify your email settings.,67 minutes,account,Escalated
1260,CONV-1261,blue screen error,Reinstall the printer drivers.,63 minutes,software,Pending
1261,CONV-1262,printer not responding,Run a system diagnostic tool.,9 minutes,performance,Pending
1262,CONV-1263,blue screen error,Run a system diagnostic tool.,113 minutes,performance,Pending
1263,CONV-1264,blue screen error,Reset your password using the link provided.,51 minutes,hardware,Escalated
1264,CONV-1265,software installation failure,Clear cache and remove unnecessary programs.,66 minutes,performance,Resolved after follow-up
1265,CONV-1266,unable to access email,Verify your email settings.,34 minutes,hardware,Resolved
1266,CONV-1267,unable to access email,Follow the software installation guide.,20 minutes,network,Resolved
1267,CONV-1268,slow system performance,Verify your email settings.,105 minutes,hardware,Resolved after follow-up
1268,CONV-1269,unable to access email,Run a system diagnostic tool.,42 minutes,hardware,Resolved
1269,CONV-1270,forgot password,Follow the software installation guide.,111 minutes,network,Resolved
1270,CONV-1271,forgot password,Verify your email settings.,50 minutes,software,Pending
1271,CONV-1272,blue screen error,Verify your email settings.,73 minutes,account,Pending
1272,CONV-1273,cannot connect to wi-fi,Verify your email settings.,11 minutes,account,Resolved
1273,CONV-1274,unable to access email,Verify your email settings.,22 minutes,performance,Pending
1274,CONV-1275,printer not responding,Clear cache and remove unnecessary programs.,62 minutes,account,Pending
1275,CONV-1276,slow system performance,Verify your email settings.,79 minutes,hardware,Pending
1276,CONV-1277,printer not responding,Run a system diagnostic tool.,35 minutes,hardware,Escalated
1277,CONV-1278,slow system performance,Reset your password using the link provided.,31 minutes,performance,Pending
1278,CONV-1279,printer not responding,Reset your password using the link provided.,93 minutes,account,Escalated
1279,CONV-1280,software installation failure,Verify your email settings.,87 minutes,performance,Resolved
1280,CONV-1281,blue screen error,Reinstall the printer drivers.,108 minutes,performance,Resolved
1281,CONV-1282,cannot connect to wi-fi,Clear cache and remove unnecessary programs.,13 minutes,hardware,Escalated
1282,CONV-1283,unable to access email,Reinstall the printer drivers.,28 minutes,hardware,Escalated
1283,CONV-1284,cannot connect to wi-fi,Clear cache and remove unnecessary programs.,39 minutes,performance,Resolved after follow-up
1284,CONV-1285,slow system performance,Clear cache and remove unnecessary programs.,48 minutes,performance,Resolved after follow-up
1285,CONV-1286,cannot connect to wi-fi,Verify your email settings.,96 minutes,software,Pending
1286,CONV-1287,unable to access email,Verify your email settings.,11 minutes,software,Resolved after follow-up
1287,CONV-1288,blue screen error,Run a system diagnostic tool.,39 minutes,network,Resolved after follow-up
